""
City,Average Monthly Hours of Physical Activities
Tokyo,20.5
Delhi,25.1
Shanghai,18.6
Sao Paulo,22.3
Mexico City,16.0
Cairo,23.2
Mumbai,27.2
Beijing,19.6
Dhaka,24.9
Osaka,20.8
New York City,22.5
Karachi,26.8
Buenos Aires,17.9
Chongqing,19.1
Istanbul,21.1
Kolkata,26.9
Manila,27.1
Lagos,27.1
Rio de Janeiro,23.2
Tianjin,19.5
Guangzhou,24.4
Moscow,15.8
Shenzhen,24.5
Lahore,26.3
Bangalore,24.2
Paris,15.3
Bogota,19.5
Jakarta,27.6
Chennai,28.0
Lima,21.1
Bangkok,28.1
Hyderabad,26.5
London,18.0
Tehran,20.5
Chicago,18.1
Chengdu,19.2
Nanjing,21.7
Wuhan,17.1
Ho Chi Minh City,27.8
Luanda,23.7
""
