""
Topic,Online Courses,Workshops,Webinars,Study Groups,Independent Study
Space Exploration,4.7,3.9,4.2,4.3,4.8
Natural Sciences,4.5,4.0,4.1,4.4,4.7
Fashion & Beauty,4.3,3.8,3.9,4.1,4.5
Literature & Writing,4.4,4.1,4.3,4.5,4.8
History & Archaeology,4.6,4.2,4.1,4.4,4.9
Climate Change,4.8,4.3,4.5,4.7,5.0
Travel & Adventure,4.2,3.7,4.0,4.2,4.4
Economics & Finance,4.3,3.9,4.2,4.4,4.6
Business & Entrepreneurship,4.5,4.1,4.3,4.6,4.9
Sports & Fitness,4.1,3.6,3.9,4.0,4.3
Music & Performing Arts,4.4,4.0,4.2,4.5,4.7
Food & Nutrition,4.6,4.2,4.3,4.6,4.8
Culture & Society,4.5,4.0,4.2,4.4,4.7
Art & Design,4.3,3.9,4.0,4.2,4.5
Entertainment & Leisure,4.2,3.8,3.9,4.1,4.4
Politics & Governance,4.6,4.2,4.4,4.5,4.9
Future Technologies,4.7,4.3,4.5,4.7,5.0
Health & Psychology,4.5,4.0,4.2,4.4,4.8
Philosophy & Ethics,4.4,3.9,4.1,4.3,4.7
""
