""
City,Population
Tokyo,37435191
Delhi,29399141
Shanghai,26317104
Sao Paulo,21846507
Mexico City,21671908
Cairo,20484965
Mumbai,20411274
Beijing,19612368
Dhaka,19577939
Osaka,19222665
New York,18819000
Karachi,15400000
Buenos Aires,15257663
Chongqing,14838000
Istanbul,14657434
Kolkata,14500000
Manila,13923452
Lagos,13500000
Rio de Janeiro,13458000
Tianjin,13245000
Kinshasa,13200000
Guangzhou,13080500
Los Angeles,12815475
Moscow,12506468
Shenzhen,12331000
Lahore,12188000
Bangalore,11845000
Paris,11020000
Bogota,10981000
Jakarta,10770487
Chennai,10473000
Lima,10422400
Bangkok,10334401
Hyderabad,10020100
""
