""
City,Population (in thousands)
New York,8419
Los Angeles,3980
Chicago,2716
Houston,2320
Phoenix,1680
Philadelphia,1584
San Antonio,1547
San Diego,1426
Dallas,1344
San Jose,1031
Austin,964
Jacksonville,902
Fort Worth,918
Columbus,890
Charlotte,885
Indianapolis,876
San Francisco,873
Seattle,744
Denver,727
Washington D.C.,712
Boston,692
El Paso,682
Nashville,671
Detroit,670
Portland,652
Las Vegas,644
Memphis,633
Baltimore,602
Milwaukee,590
Albuquerque,563
Tucson,543
Fresno,542
Sacramento,523
Kansas City,508
Atlanta,501
Miami,486
New Orleans,391
Tampa,394
Orlando,308
Cleveland,383
""
