""
Destination,Visitors
France,89000000
Spain,83000000
United States,79000000
China,65000000
Italy,62000000
Turkey,51000000
Mexico,45000000
Germany,38000000
Thailand,35000000
United Kingdom,34000000
Japan,32000000
Austria,30000000
Greece,28000000
Russia,25000000
Canada,22000000
Saudi Arabia,20000000
Netherlands,19000000
South Korea,18000000
Malaysia,17000000
Portugal,16000000
Poland,15000000
Indonesia,14000000
South Africa,13000000
Egypt,12000000
Australia,11000000
Switzerland,10000000
Argentina,9000000
Sweden,8000000
Denmark,7000000
Brazil,6000000
Ireland,5000000
Norway,4000000
Singapore,3000000
New Zealand,2000000
Israel,1000000
""
