""
City,Population Growth Rate (%)
New York,0.5
Los Angeles,1.2
Chicago,0.8
Houston,1.5
Phoenix,2.1
Philadelphia,0.7
San Antonio,2.3
San Diego,1.0
Dallas,1.8
San Jose,1.3
Austin,2.5
Jacksonville,1.7
San Francisco,0.9
Columbus,1.4
Indianapolis,1.1
Fort Worth,1.9
Charlotte,2.0
Seattle,1.6
Denver,1.4
Washington D.C.,0.8
Boston,0.6
El Paso,1.2
Nashville,2.2
Detroit,0.3
Portland,1.5
Las Vegas,2.4
Memphis,0.9
Baltimore,0.4
Milwaukee,0.7
Albuquerque,1.1
Tucson,1.0
Fresno,1.3
Sacramento,1.8
Kansas City,1.2
Atlanta,2.1
Miami,1.0
New Orleans,0.5
Tampa,1.4
Orlando,2.2
Cleveland,0.3
""
