""
City,January,February,March,April,May,June,July,August,September,October,November,December
New York,-1,0,4,10,16,21,25,24,20,14,8,3
Los Angeles,14,15,15,17,18,20,22,22,21,19,16,14
London,4,4,7,9,13,16,18,18,15,11,7,5
Tokyo,5,6,9,14,18,21,25,27,23,18,13,9
Sydney,23,23,22,19,16,13,11,12,14,17,19,21
Moscow,-9,-8,-4,5,13,17,19,17,11,5,-2,-7
Dubai,19,20,23,26,31,33,36,36,33,29,25,21
Paris,3,4,7,10,14,17,19,19,16,11,7,5
Beijing,-4,-2,5,14,20,25,26,25,20,13,4,-3
Mumbai,24,24,27,29,30,29,28,28,28,28,27,25
Johannesburg,17,17,16,14,10,7,7,10,13,15,16,17
Rio de Janeiro,26,27,26,25,23,22,22,22,23,24,24,25
""
