""
Topic,Popularity
Climate Action,9200
Clean Water and Sanitation,8700
Affordable and Clean Energy,8300
Quality Education,7900
Gender Equality,7500
Good Health and Well-being,7200
Sustainable Cities and Communities,6800
Responsible Consumption and Production,6500
Life Below Water,6100
Life on Land,5700
Decent Work and Economic Growth,5400
Industry Innovation and Infrastructure,5000
Reduced Inequality,4700
Partnerships for the Goals,4400
No Poverty,4100
Zero Hunger,3900
Peace and Justice Strong Institutions,3600
Climate Action,3300
Clean Water and Sanitation,3100
Affordable and Clean Energy,2900
""
