""
Country,Renewable Energy Production (TWh)
China,2200
United States,1100
Germany,600
India,750
Japan,300
Brazil,500
United Kingdom,200
Canada,400
France,250
Italy,150
Australia,100
Russia,50
South Korea,90
Spain,120
Mexico,80
Indonesia,70
Netherlands,60
Turkey,40
Saudi Arabia,20
South Africa,30
Argentina,25
Sweden,35
Norway,45
Switzerland,15
Austria,10
Belgium,5
Denmark,12
Finland,8
Ireland,7
Poland,22
Greece,18
Portugal,14
Romania,16
Hungary,6
Czech Republic,9
Israel,4
New Zealand,11
Ukraine,13
Thailand,17
Vietnam,21
""
