""
City,Annual Tourist Arrivals
Bangkok,22000000
Paris,19000000
Dubai,18000000
Istanbul,17000000
New York City,16000000
Singapore,15500000
Kuala Lumpur,14000000
Tokyo,13700000
Seoul,13000000
Hong Kong,12500000
Barcelona,12000000
Osaka,11500000
Rome,11000000
Pattaya,10000000
Bali,9500000
London,9000000
Bangkok,22000000
Paris,19000000
Dubai,18000000
Istanbul,17000000
New York City,16000000
Singapore,15500000
Kuala Lumpur,14000000
Tokyo,13700000
Seoul,13000000
Hong Kong,12500000
Barcelona,12000000
Osaka,11500000
Rome,11000000
Pattaya,10000000
Bali,9500000
London,9000000
""
