""
countries,gdp
United States,22675271
China,16642318
Japan,5378136
Germany,4291397
United Kingdom,3195655
India,3176294
France,3010101
Italy,2106997
Canada,2050034
South Korea,1835649
Russia,1775554
Australia,1550567
Spain,1452145
Mexico,1257591
Indonesia,1211200
Netherlands,1031633
Saudi Arabia,833541
Turkey,815271
Switzerland,802539
Taiwan,788499
Poland,674002
Sweden,586095
Belgium,577138
Thailand,543550
Austria,503759
Nigeria,476197
Israel,468339
Argentina,453008
Norway,452559
South Africa,419015
Ireland,403775
Denmark,397100
Singapore,396992
Malaysia,372777
Hong Kong,368096
Philippines,361489
Bangladesh,353515
Egypt,331951
Pakistan,327731
Chile,318255
""
