""
City,Population
Tokyo,37435191
Delhi,29399141
Shanghai,26317104
Sao Paulo,21846507
Mexico City,21671908
Cairo,20484965
Mumbai,20185064
Beijing,20035455
Dhaka,19577916
Osaka,19222665
New York City,18819000
Karachi,15400000
Buenos Aires,14967000
Chongqing,14838000
Istanbul,14754000
Kolkata,14681000
Manila,13482000
Lagos,13478000
Rio de Janeiro,13458000
Tianjin,13215000
Guangzhou,13080500
Moscow,12506468
Shenzhen,12484000
Lahore,12188000
Bangalore,11777000
Paris,11027000
Bogota,10750000
Jakarta,10750000
Chennai,10495000
Lima,10360000
Bangkok,10327000
Hyderabad,10203000
London,9126366
Tehran,9026200
Chicago,8804500
Chengdu,8837568
Nanjing,8334951
Wuhan,8171600
Ho Chi Minh City,8122900
Luanda,8099748
""
