""
City,Income
New York,4500
Los Angeles,4200
Chicago,4000
Houston,4800
Phoenix,3900
Philadelphia,4100
San Antonio,4700
San Diego,4300
Dallas,4400
San Jose,5000
Austin,4600
Jacksonville,3800
San Francisco,5100
Columbus,4100
Fort Worth,4300
Indianapolis,3950
Charlotte,4200
Seattle,4950
Denver,4850
Washington,5050
Boston,4700
El Paso,3800
Detroit,4000
Nashville,4350
Memphis,3900
Portland,4600
Oklahoma City,3900
Las Vegas,4100
Louisville,3950
Baltimore,4200
Milwaukee,4000
Albuquerque,3850
Tucson,3900
Fresno,4050
Sacramento,4400
Kansas City,4100
Long Beach,4250
Mesa,3950
Virginia Beach,4050
Atlanta,4600
Colorado Springs,4400
Raleigh,4500
Omaha,4000
Miami,4500
Oakland,4700
Minneapolis,4450
Tulsa,3850
Wichita,3900
Arlington,4200
Bakersfield,3950
New Orleans,4300
Honolulu,4900
""
