""
City,Population,Average_Annual_Rainfall_mm
Tokyo,37400068,1530
Delhi,28514000,800
Shanghai,25582000,1160
Sao Paulo,21650000,1450
Mumbai,20411000,2200
Mexico City,9209944,750
Beijing,19618000,600
Osaka,19281000,1300
Cairo,20076000,20
New York,18713220,1200
Bangkok,10539000,1650
Moscow,12506468,700
Dubai,3331400,100
Istanbul,15462452,820
Lagos,14241000,1600
Paris,11020000,640
Jakarta,10770487,2000
London,9304016,690
Hanoi,8000000,1800
Buenos Aires,15594428,1200
Cape Town,433688,600
Sydney,5230330,1200
Rio de Janeiro,6748000,1170
Los Angeles,3979576,380
Toronto,2731571,830
San Francisco,883305,400
Berlin,3613495,570
Singapore,5638700,2400
Hong Kong,7482500,2200
Johannesburg,957441,700
""
