Date,Calories,Exercise
2023-04-01,2000,30
2023-04-02,2200,35
2023-04-03,2100,40
2023-04-04,2500,45
2023-04-05,2600,50
2023-04-06,2700,55
2023-04-07,2900,60
2023-04-08,3100,65
2023-04-09,3500,70
2023-04-10,3400,75
2023-04-11,3200,80
2023-04-12,3300,85
2023-04-13,3490,90
2023-04-14,3600,95
2023-04-15,3700,100
2023-04-16,3800,105
2023-04-17,4000,110
2023-04-18,4200,115
2023-04-19,4300,120
2023-04-20,4400,125
2023-04-21,4500,130
2023-04-22,4600,135
2023-04-23,4700,140
2023-04-24,4800,145
2023-04-25,4900,150
2023-04-26,5000,155
2023-04-27,5200,160
2023-04-28,5300,165
2023-04-29,5400,170
2023-04-30,5500,175
