Date,Steps
2023-01-01,5500
2023-01-02,6500
2023-01-03,7600
2023-01-04,8400
2023-01-05,6100
2023-01-06,7200
2023-01-07,6800
2023-01-08,7800
2023-01-09,5600
2023-01-10,9400
2023-01-11,7500
2023-01-12,8600
2023-01-13,8900
2023-01-14,9700
2023-01-15,6900
2023-01-16,8500
2023-01-17,9200
2023-01-18,7800
2023-01-19,8300
2023-01-20,6000
2023-01-21,9300
2023-01-22,8800
2023-01-23,8700
2023-01-24,7900
2023-01-25,8100
2023-01-26,7300
2023-01-27,6200
2023-01-28,8300
2023-01-29,6800
2023-01-30,9200
2023-01-31,7700
