Week,Hours
01 Jan 2022,1200
08 Jan 2022,1300
15 Jan 2022,1400
22 Jan 2022,1500
29 Jan 2022,1600
05 Feb 2022,1700
12 Feb 2022,1800
19 Feb 2022,1900
26 Feb 2022,2000
05 Mar 2022,2100
12 Mar 2022,2200
19 Mar 2022,2300
26 Mar 2022,2400
02 Apr 2022,2500
09 Apr 2022,2600
16 Apr 2022,2700
23 Apr 2022,2800
30 Apr 2022,2900
07 May 2022,3000
14 May 2022,3100
21 May 2022,3200
28 May 2022,3300
04 Jun 2022,3400
11 Jun 2022,3500
18 Jun 2022,3600
25 Jun 2022,3700
02 Jul 2022,3800
09 Jul 2022,3900
16 Jul 2022,4000
23 Jul 2022,4100
30 Jul 2022,4200
06 Aug 2022,4300
13 Aug 2022,4400
20 Aug 2022,4500
27 Aug 2022,4600
03 Sep 2022,4700
10 Sep 2022,4800
17 Sep 2022,4900
24 Sep 2022,5000
01 Oct 2022,5100
08 Oct 2022,5200
15 Oct 2022,5300
22 Oct 2022,5400
29 Oct 2022,5500
05 Nov 2022,5600
12 Nov 2022,5700
19 Nov 2022,5800
26 Nov 2022,5900
03 Dec 2022,6000
10 Dec 2022,6100
17 Dec 2022,6200
24 Dec 2022,6300
31 Dec 2022,6400
