Day,Calories
April 1,2200
April 2,2100
April 3,2300
April 4,2400
April 5,2250
April 6,2500
April 7,2600
April 8,2350
April 9,2150
April 10,2450
April 11,2700
April 12,2600
April 13,2200
April 14,2400
April 15,2500
April 16,2650
April 17,2750
April 18,2100
April 19,2000
April 20,2300
April 21,2450
April 22,2200
April 23,2600
April 24,2550
April 25,2700
April 26,2600
April 27,2250
April 28,2500
April 29,2400
April 30,2350
May 1,2450
May 2,2550
May 3,2650
May 4,2750
May 5,2800
May 6,2900
May 7,2850
May 8,2750
May 9,2650
May 10,2550
