Date,Stock Price
2023-03-01,120.5
2023-03-02,122.3
2023-03-03,121.8
2023-03-04,123.4
2023-03-05,125.1
2023-03-06,127.6
2023-03-07,128.3
2023-03-08,129.7
2023-03-09,130.5
2023-03-10,131.2
2023-03-11,132.8
2023-03-12,134.0
2023-03-13,133.4
2023-03-14,132.7
2023-03-15,135.6
2023-03-16,137.2
2023-03-17,138.5
2023-03-18,139.3
2023-03-19,140.8
2023-03-20,142.1
2023-03-21,143.6
2023-03-22,145.0
2023-03-23,146.2
2023-03-24,147.8
2023-03-25,149.3
2023-03-26,150.6
2023-03-27,152.0
2023-03-28,153.4
2023-03-29,154.7
2023-03-30,156.2
2023-03-31,157.8
