Date,Calories
2023-01-01,2000
2023-01-02,2500
2023-01-03,2300
2023-01-04,1800
2023-01-05,2600
2023-01-06,2700
2023-01-07,2800
2023-01-08,2900
2023-01-09,3100
2023-01-10,2900
2023-01-11,2600
2023-01-12,2400
2023-01-13,2200
2023-01-14,2100
2023-01-15,2300
2023-01-16,2500
2023-01-17,2700
2023-01-18,2800
2023-01-19,3000
2023-01-20,3100
2023-01-21,3200
2023-01-22,3300
2023-01-23,3400
2023-01-24,3500
2023-01-25,3600
2023-01-26,3700
2023-01-27,3800
2023-01-28,3900
2023-01-29,4000
2023-01-30,4100
2023-01-31,4200
