Date,Steps
2023-03-01,7240
2023-03-02,8020
2023-03-03,6780
2023-03-04,9500
2023-03-05,10340
2023-03-06,11200
2023-03-07,9800
2023-03-08,10400
2023-03-09,11300
2023-03-10,13240
2023-03-11,12650
2023-03-12,12345
2023-03-13,10080
2023-03-14,12000
2023-03-15,11050
2023-03-16,12540
2023-03-17,13420
2023-03-18,14030
2023-03-19,14650
2023-03-20,15340
2023-03-21,15800
2023-03-22,16250
2023-03-23,17010
2023-03-24,17680
2023-03-25,18500
2023-03-26,19200
2023-03-27,19950
2023-03-28,20700
2023-03-29,21340
2023-03-30,22050
2023-03-31,22800
