Date,Steps
2023-03-01,2400
2023-03-02,3200
2023-03-03,1800
2023-03-04,5000
2023-03-05,3400
2023-03-06,4200
2023-03-07,3000
2023-03-08,4400
2023-03-09,5100
2023-03-10,6500
2023-03-11,5500
2023-03-12,5450
2023-03-13,4800
2023-03-14,6000
2023-03-15,4500
2023-03-16,5400
2023-03-17,6200
2023-03-18,7300
2023-03-19,6500
2023-03-20,7400
2023-03-21,8000
2023-03-22,8500
2023-03-23,9000
2023-03-24,9800
2023-03-25,10500
2023-03-26,11200
2023-03-27,11900
2023-03-28,12700
2023-03-29,13400
2023-03-30,14500
2023-03-31,15800
