Date,Steps
2023-01-01,5000
2023-01-02,7000
2023-01-03,6000
2023-01-04,8000
2023-01-05,10000
2023-01-06,12000
2023-01-07,14000
2023-01-08,13000
2023-01-09,15000
2023-01-10,16000
2023-01-11,14000
2023-01-12,13000
2023-01-13,12000
2023-01-14,10000
2023-01-15,8000
2023-01-16,6000
2023-01-17,5000
2023-01-18,7000
2023-01-19,9000
2023-01-20,11000
2023-01-21,13000
2023-01-22,14000
2023-01-23,15500
2023-01-24,16000
2023-01-25,13500
2023-01-26,12500
2023-01-27,11500
2023-01-28,10500
2023-01-29,9500
2023-01-30,8500
2023-01-31,7500
