Date,Steps
April 1,5000
April 2,6000
April 3,7000
April 4,7500
April 5,8000
April 6,8500
April 7,9000
April 8,9500
April 9,10000
April 10,10500
April 11,11000
April 12,11500
April 13,12000
April 14,12500
April 15,13000
April 16,13500
April 17,14000
April 18,14500
April 19,15000
April 20,15500
April 21,16000
April 22,16500
April 23,17000
April 24,17500
April 25,18000
April 26,18500
April 27,19000
April 28,19500
April 29,20000
April 30,20500
May 1,21000
May 2,21500
May 3,22000
May 4,22500
May 5,23000
May 6,23500
May 7,24000
May 8,24500
May 9,25000
May 10,25500
