Date,Temperature
2023-03-01,12.5
2023-03-02,14.0
2023-03-03,13.2
2023-03-04,15.1
2023-03-05,16.3
2023-03-06,17.8
2023-03-07,15.6
2023-03-08,16.2
2023-03-09,17.5
2023-03-10,18.0
2023-03-11,17.2
2023-03-12,16.8
2023-03-13,15.4
2023-03-14,16.7
2023-03-15,17.1
2023-03-16,18.3
2023-03-17,19.2
2023-03-18,20.1
2023-03-19,21.5
2023-03-20,22.3
2023-03-21,23.0
2023-03-22,22.8
2023-03-23,24.1
2023-03-24,25.0
2023-03-25,26.2
2023-03-26,27.5
2023-03-27,28.3
2023-03-28,29.0
2023-03-29,29.5
2023-03-30,30.0
2023-03-31,30.5
