Date,Stock Price
2023-04-01,220.5
2023-04-02,230.8
2023-04-03,240.25
2023-04-04,235.0
2023-04-05,237.75
2023-04-06,245.6
2023-04-07,250.3
2023-04-08,260.1
2023-04-09,255.0
2023-04-10,265.25
2023-04-11,270.4
2023-04-12,275.5
2023-04-13,280.2
2023-04-14,285.1
2023-04-15,290.0
2023-04-16,295.3
2023-04-17,300.4
2023-04-18,310.2
2023-04-19,305.5
2023-04-20,315.75
2023-04-21,320.8
2023-04-22,325.0
2023-04-23,330.25
2023-04-24,335.7
2023-04-25,340.5
2023-04-26,345.9
2023-04-27,350.8
2023-04-28,355.6
2023-04-29,360.0
2023-04-30,365.5
