Date,Calories
2023-01-01,2200
2023-01-02,2100
2023-01-03,2300
2023-01-04,2000
2023-01-05,2500
2023-01-06,2400
2023-01-07,2200
2023-01-08,2100
2023-01-09,2300
2023-01-10,2500
2023-01-11,2400
2023-01-12,2200
2023-01-13,2100
2023-01-14,2000
2023-01-15,2500
2023-01-16,2400
2023-01-17,2300
2023-01-18,2200
2023-01-19,2100
2023-01-20,2000
2023-01-21,2500
2023-01-22,2400
2023-01-23,2300
2023-01-24,2200
2023-01-25,2100
2023-01-26,2500
2023-01-27,2400
2023-01-28,2300
2023-01-29,2200
2023-01-30,2100
2023-01-31,2000
