Week,Distance
Week 1,10
Week 2,12
Week 3,8
Week 4,15
Week 5,18
Week 6,20
Week 7,22
Week 8,25
Week 9,27
Week 10,30
Week 11,32
Week 12,35
Week 13,28
Week 14,26
Week 15,24
Week 16,22
Week 17,20
Week 18,18
Week 19,16
Week 20,14
Week 21,12
Week 22,10
Week 23,8
Week 24,6
Week 25,4
Week 26,2
Week 27,5
Week 28,7
Week 29,9
Week 30,11
Week 31,13
Week 32,15
Week 33,17
Week 34,19
Week 35,21
Week 36,23
Week 37,25
Week 38,27
Week 39,29
Week 40,31
Week 41,33
Week 42,35
Week 43,37
Week 44,39
Week 45,41
Week 46,43
Week 47,45
Week 48,47
Week 49,49
Week 50,51
Week 51,53
Week 52,55
