Date,Visits
2023-01-01,1500
2023-01-02,1700
2023-01-03,1600
2023-01-04,1800
2023-01-05,1400
2023-01-06,1900
2023-01-07,2000
2023-01-08,2100
2023-01-09,1600
2023-01-10,1800
2023-01-11,1700
2023-01-12,1900
2023-01-13,2000
2023-01-14,2100
2023-01-15,1600
2023-01-16,2000
2023-01-17,2200
2023-01-18,2000
2023-01-19,2100
2023-01-20,1600
2023-01-21,2200
2023-01-22,2300
2023-01-23,1800
2023-01-24,2000
2023-01-25,2100
2023-01-26,1900
2023-01-27,1700
2023-01-28,2100
2023-01-29,1600
2023-01-30,2200
2023-01-31,2000
2023-02-01,1800
2023-02-02,1900
2023-02-03,2000
2023-02-04,2100
2023-02-05,1700
2023-02-06,1900
2023-02-07,2000
2023-02-08,2200
2023-02-09,2100
2023-02-10,2300
