Date,Steps
2023-05-01,5000
2023-05-02,6000
2023-05-03,7000
2023-05-04,8000
2023-05-05,9000
2023-05-06,7500
2023-05-07,6500
2023-05-08,7000
2023-05-09,8500
2023-05-10,9000
2023-05-11,9500
2023-05-12,10000
2023-05-13,11000
2023-05-14,12000
2023-05-15,11500
2023-05-16,11000
2023-05-17,10500
2023-05-18,11500
2023-05-19,12000
2023-05-20,13000
2023-05-21,14000
2023-05-22,13500
2023-05-23,12500
2023-05-24,13000
2023-05-25,13500
2023-05-26,14000
2023-05-27,14500
2023-05-28,15000
2023-05-29,15500
2023-05-30,16000
2023-05-31,16500
