Date,Steps
2023-01-01,5000
2023-01-02,6000
2023-01-03,7000
2023-01-04,8000
2023-01-05,7500
2023-01-06,9000
2023-01-07,10000
2023-01-08,9500
2023-01-09,10500
2023-01-10,11000
2023-01-11,9500
2023-01-12,8500
2023-01-13,8000
2023-01-14,7500
2023-01-15,6500
2023-01-16,7000
2023-01-17,8000
2023-01-18,8500
2023-01-19,9000
2023-01-20,9500
2023-01-21,10000
2023-01-22,10500
2023-01-23,11000
2023-01-24,11500
2023-01-25,12000
2023-01-26,12500
2023-01-27,13000
2023-01-28,13500
2023-01-29,14000
2023-01-30,14500
