Date,Steps
2023-01-01,5000
2023-01-02,7000
2023-01-03,6000
2023-01-04,4000
2023-01-05,7500
2023-01-06,8000
2023-01-07,8200
2023-01-08,9000
2023-01-09,9500
2023-01-10,7200
2023-01-11,6800
2023-01-12,6400
2023-01-13,6000
2023-01-14,5800
2023-01-15,5400
2023-01-16,6200
2023-01-17,6700
2023-01-18,7000
2023-01-19,7400
2023-01-20,7500
2023-01-21,7300
2023-01-22,6800
2023-01-23,6200
2023-01-24,6000
2023-01-25,5800
2023-01-26,6000
2023-01-27,6400
2023-01-28,6800
2023-01-29,7200
2023-01-30,7500
2023-01-31,8000
