Date,Consumption
2023-01-01,1.5
2023-01-02,1.8
2023-01-03,1.6
2023-01-04,1.7
2023-01-05,1.4
2023-01-06,1.9
2023-01-07,2.0
2023-01-08,2.2
2023-01-09,2.4
2023-01-10,2.6
2023-01-11,2.8
2023-01-12,3.0
2023-01-13,2.7
2023-01-14,2.5
2023-01-15,2.3
2023-01-16,2.1
2023-01-17,1.9
2023-01-18,1.8
2023-01-19,1.7
2023-01-20,1.6
2023-01-21,1.5
2023-01-22,1.4
2023-01-23,1.3
2023-01-24,1.2
2023-01-25,1.1
2023-01-26,1.0
2023-01-27,1.2
2023-01-28,1.4
2023-01-29,1.6
2023-01-30,1.8
2023-01-31,2.0
2023-02-01,2.2
2023-02-02,2.4
2023-02-03,2.6
2023-02-04,2.8
2023-02-05,3.0
2023-02-06,3.2
2023-02-07,3.4
2023-02-08,3.6
2023-02-09,3.8
2023-02-10,4.0
