Day,Steps
January 1,5000
January 2,6000
January 3,5500
January 4,8000
January 5,7500
January 6,9000
January 7,10000
January 8,11000
January 9,7000
January 10,8500
January 11,6000
January 12,9500
January 13,10000
January 14,12000
January 15,10500
January 16,8000
January 17,7000
January 18,9500
January 19,11000
January 20,10000
January 21,8500
January 22,9000
January 23,7500
January 24,8000
January 25,9500
January 26,8500
January 27,12000
January 28,10000
January 29,10500
January 30,9000
January 31,9500
