Day,Steps
01-Jan,4000
02-Jan,4200
03-Jan,4500
04-Jan,4800
05-Jan,4300
06-Jan,4600
07-Jan,5000
08-Jan,4900
09-Jan,4700
10-Jan,5200
11-Jan,4500
12-Jan,4600
13-Jan,4800
14-Jan,5100
15-Jan,4400
16-Jan,4600
17-Jan,5000
18-Jan,4900
19-Jan,4700
20-Jan,5200
21-Jan,4500
22-Jan,4600
23-Jan,4800
24-Jan,5100
25-Jan,4300
26-Jan,4600
27-Jan,5000
28-Jan,4900
29-Jan,4700
30-Jan,5200
31-Jan,4500
01-Feb,4600
02-Feb,4800
03-Feb,5100
04-Feb,4300
05-Feb,4600
06-Feb,5000
07-Feb,4900
08-Feb,4700
09-Feb,5200
10-Feb,4500
11-Feb,4600
12-Feb,4800
13-Feb,5100
14-Feb,4300
15-Feb,4600
16-Feb,5000
17-Feb,4900
18-Feb,4700
19-Feb,5200
20-Feb,4500
21-Feb,4600
22-Feb,4800
23-Feb,5100
24-Feb,4300
25-Feb,4600
26-Feb,5000
27-Feb,4900
28-Feb,4700
