Date,Steps Count
2023-05-01,8000
2023-05-02,8200
2023-05-03,8100
2023-05-04,8500
2023-05-05,8700
2023-05-06,8800
2023-05-07,9000
2023-05-08,9100
2023-05-09,9200
2023-05-10,9300
2023-05-11,9400
2023-05-12,9500
2023-05-13,9600
2023-05-14,9700
2023-05-15,9800
2023-05-16,9900
2023-05-17,10000
2023-05-18,10100
2023-05-19,10200
2023-05-20,10300
2023-05-21,10400
2023-05-22,10500
2023-05-23,10600
2023-05-24,10700
2023-05-25,10800
2023-05-26,10900
2023-05-27,11000
2023-05-28,11100
2023-05-29,11200
2023-05-30,11300
2023-05-31,11400
