Date,Calories
2023-05-01,2000
2023-05-02,2200
2023-05-03,2100
2023-05-04,2300
2023-05-05,2400
2023-05-06,2500
2023-05-07,2600
2023-05-08,2200
2023-05-09,2300
2023-05-10,2100
2023-05-11,2000
2023-05-12,1900
2023-05-13,1800
2023-05-14,1700
2023-05-15,1600
2023-05-16,1800
2023-05-17,2000
2023-05-18,2200
2023-05-19,2400
2023-05-20,2300
2023-05-21,2500
2023-05-22,2600
2023-05-23,2400
2023-05-24,2300
2023-05-25,2200
2023-05-26,2100
2023-05-27,2000
2023-05-28,1900
2023-05-29,1800
2023-05-30,1700
2023-05-31,1600
