Date,Step Count
2023-04-01,8000
2023-04-02,8200
2023-04-03,8500
2023-04-04,8700
2023-04-05,8900
2023-04-06,9100
2023-04-07,9300
2023-04-08,9500
2023-04-09,9700
2023-04-10,9900
2023-04-11,10100
2023-04-12,10300
2023-04-13,10500
2023-04-14,10700
2023-04-15,10900
2023-04-16,11100
2023-04-17,11300
2023-04-18,11500
2023-04-19,11700
2023-04-20,11900
2023-04-21,12100
2023-04-22,12300
2023-04-23,12500
2023-04-24,12700
2023-04-25,12900
2023-04-26,13100
2023-04-27,13300
2023-04-28,13500
2023-04-29,13700
2023-04-30,13900
