Date,Calories
2022-01-01,2000
2022-01-02,2100
2022-01-03,2050
2022-01-04,2200
2022-01-05,2150
2022-01-06,2300
2022-01-07,2250
2022-01-08,2350
2022-01-09,2400
2022-01-10,2450
2022-01-11,2500
2022-01-12,2550
2022-01-13,2600
2022-01-14,2650
2022-01-15,2700
2022-01-16,2750
2022-01-17,2800
2022-01-18,2850
2022-01-19,2900
2022-01-20,2950
2022-01-21,3000
2022-01-22,3050
2022-01-23,3100
2022-01-24,3150
2022-01-25,3200
2022-01-26,3250
2022-01-27,3300
2022-01-28,3350
2022-01-29,3400
2022-01-30,3450
2022-01-31,3500
2022-02-01,3550
2022-02-02,3600
2022-02-03,3650
2022-02-04,3700
2022-02-05,3750
2022-02-06,3800
2022-02-07,3850
2022-02-08,3900
2022-02-09,3950
2022-02-10,4000
