Day,Hours
01-Jan,1.5
02-Jan,1.7
03-Jan,1.8
04-Jan,2.0
05-Jan,1.6
06-Jan,1.8
07-Jan,2.1
08-Jan,1.9
09-Jan,1.8
10-Jan,2.0
11-Jan,1.5
12-Jan,1.7
13-Jan,1.8
14-Jan,2.0
15-Jan,1.6
16-Jan,1.8
17-Jan,2.1
18-Jan,1.9
19-Jan,1.8
20-Jan,2.0
21-Jan,1.5
22-Jan,1.7
23-Jan,1.8
24-Jan,2.0
25-Jan,1.6
26-Jan,1.8
27-Jan,2.1
28-Jan,1.9
29-Jan,1.8
30-Jan,2.0
31-Jan,1.5
01-Feb,1.7
02-Feb,1.8
03-Feb,2.0
04-Feb,1.6
05-Feb,1.8
06-Feb,2.1
07-Feb,1.9
08-Feb,1.8
09-Feb,2.0
10-Feb,1.5
11-Feb,1.7
12-Feb,1.8
13-Feb,2.0
14-Feb,1.6
15-Feb,1.8
16-Feb,2.1
17-Feb,1.9
18-Feb,1.8
19-Feb,2.0
20-Feb,1.5
21-Feb,1.7
22-Feb,1.8
23-Feb,2.0
24-Feb,1.6
25-Feb,1.8
26-Feb,2.1
27-Feb,1.9
28-Feb,1.8
