Month,Sales
Jan 2020,20000
Feb 2020,25000
Mar 2020,30000
Apr 2020,28000
May 2020,32000
Jun 2020,35000
Jul 2020,37000
Aug 2020,39000
Sep 2020,41000
Oct 2020,43000
Nov 2020,45000
Dec 2020,47000
Jan 2021,49000
Feb 2021,50000
Mar 2021,52000
Apr 2021,54000
May 2021,56000
Jun 2021,58000
Jul 2021,60000
Aug 2021,62000
Sep 2021,64000
Oct 2021,66000
Nov 2021,68000
Dec 2021,70000
Jan 2022,72000
Feb 2022,74000
Mar 2022,76000
Apr 2022,78000
May 2022,80000
Jun 2022,82000
Jul 2022,84000
Aug 2022,86000
Sep 2022,88000
Oct 2022,90000
Nov 2022,92000
Dec 2022,94000
Jan 2023,96000
Feb 2023,98000
Mar 2023,100000
Apr 2023,102000
May 2023,104000
Jun 2023,106000
Jul 2023,108000
Aug 2023,110000
Sep 2023,112000
Oct 2023,114000
Nov 2023,116000
Dec 2023,118000
