Date,Observation Hours
April 1,5.0
April 2,6.0
April 3,7.0
April 4,5.5
April 5,8.0
April 6,7.5
April 7,6.5
April 8,9.0
April 9,10.0
April 10,9.5
April 11,8.5
April 12,7.5
April 13,8.0
April 14,9.0
April 15,10.0
April 16,9.5
April 17,8.5
April 18,7.0
April 19,6.5
April 20,5.5
April 21,6.0
April 22,7.0
April 23,8.5
April 24,9.0
April 25,9.5
April 26,8.0
April 27,7.5
April 28,8.5
April 29,9.5
April 30,10.0
May 1,11.0
May 2,10.5
May 3,11.5
May 4,12.0
May 5,11.0
May 6,10.0
May 7,9.5
May 8,10.5
May 9,11.5
May 10,12.0
