Date,Calories
2023-01-01,2200
2023-01-02,2100
2023-01-03,2300
2023-01-04,2400
2023-01-05,2000
2023-01-06,2500
2023-01-07,2600
2023-01-08,2200
2023-01-09,2100
2023-01-10,2700
2023-01-11,2300
2023-01-12,2400
2023-01-13,2500
2023-01-14,2600
2023-01-15,2200
2023-01-16,2300
2023-01-17,2400
2023-01-18,2500
2023-01-19,2200
2023-01-20,2100
2023-01-21,2700
2023-01-22,2600
2023-01-23,2500
2023-01-24,2400
2023-01-25,2300
2023-01-26,2200
2023-01-27,2100
2023-01-28,2700
2023-01-29,2600
2023-01-30,2500
2023-01-31,2400
