University,TuitionFees
Harvard University,51732
Stanford University,55568
MIT,53790
University of Oxford,41050
University of Cambridge,39340
University of Tokyo,6421
ETH Zurich,1650
University of Melbourne,35380
University of Toronto,41250
National University of Singapore,28750
University of Hong Kong,18300
Peking University,2920
Tsinghua University,2920
Seoul National University,5884
University of Sydney,36740
Imperial College London,45040
London School of Economics,32480
"University of California, Berkeley",43712
Yale University,57200
Princeton University,53720
