Movie,Revenue
Avatar,2.85
Avengers: Endgame,2.8
Titanic,2.2
Star Wars: The Force Awakens,2.07
Avengers: Infinity War,2.05
Spider-Man: No Way Home,1.91
Jurassic World,1.67
The Lion King,1.66
The Avengers,1.52
Furious 7,1.51
Frozen II,1.45
Avengers: Age of Ultron,1.4
Black Panther,1.34
Harry Potter and the Deathly Hallows: Part 2,1.34
Star Wars: The Last Jedi,1.33
Jurassic World: Fallen Kingdom,1.31
Frozen,1.28
Beauty and the Beast,1.26
Incredibles 2,1.24
The Fate of the Furious,1.24
Iron Man 3,1.21
Minions,1.16
Captain America: Civil War,1.15
Aquaman,1.15
The Lord of the Rings: The Return of the King,1.14
Skyfall,1.11
Transformers: Dark of the Moon,1.12
The Dark Knight Rises,1.08
Toy Story 4,1.07
Toy Story 3,1.07
