Museum,Avg Visitors
Louvre,9300000
Metropolitan Museum of Art,7000000
British Museum,5800000
Tate Modern,5900000
Vatican Museums,6300000
National Gallery,6100000
Rijksmuseum,2400000
Museo Nacional del Prado,3100000
Art Institute of Chicago,1500000
Uffizi Gallery,2100000
State Hermitage Museum,4300000
Museum of Modern Art,2700000
Louvre Abu Dhabi,1000000
National Museum of China,8200000
Natural History Museum,5000000
American Museum of Natural History,5000000
Victoria and Albert Museum,3800000
National Gallery of Art,4500000
Centre Pompidou,3600000
Guggenheim Museum,1100000
