Book,Copies Sold (millions)
Don Quixote,500
A Tale of Two Cities,200
The Lord of the Rings,150
The Little Prince,142
Harry Potter and the Sorcerer's Stone,120
And Then There Were None,100
Dream of the Red Chamber,100
The Hobbit,100
She: A History of Adventure,100
"The Lion, the Witch and the Wardrobe",85
The Da Vinci Code,80
The Catcher in the Rye,65
The Alchemist,65
Harry Potter and the Half-Blood Prince,65
Harry Potter and the Chamber of Secrets,60
Harry Potter and the Prisoner of Azkaban,55
Harry Potter and the Goblet of Fire,55
Harry Potter and the Order of the Phoenix,55
Harry Potter and the Deathly Hallows,50
The Hobbit,50
