City,Temperature
New York,12.5
Los Angeles,18.7
Chicago,11.8
Houston,20.4
Phoenix,23.4
Philadelphia,13.7
San Antonio,20.1
San Diego,18.3
Dallas,19.2
San Jose,16.2
Austin,19.4
Jacksonville,21.3
San Francisco,14.1
Columbus,12.3
Indianapolis,12.0
Fort Worth,19.5
Charlotte,16.8
Seattle,11.3
Denver,10.2
Washington,13.5
Boston,11.8
El Paso,19.1
Nashville,15.7
Detroit,10.9
Oklahoma City,17.0
Portland,12.4
Las Vegas,22.1
Memphis,17.8
Louisville,15.3
Baltimore,14.1
Atlanta,17.1
Miami,25.1
Orlando,23.3
Tampa,23.1
Cleveland,11.6
Kansas City,14.4
Minneapolis,9.7
