Athlete,Earnings
Lionel Messi,130000000
LeBron James,121200000
Cristiano Ronaldo,115000000
Neymar,95000000
Stephen Curry,92800000
Kevin Durant,87900000
Roger Federer,90000000
Canelo Alvarez,85000000
Tom Brady,83000000
Giannis Antetokounmpo,80000000
Lewis Hamilton,75000000
Tiger Woods,68000000
Patrick Mahomes,66000000
Neymar,95000000
Damian Lillard,63000000
Conor McGregor,62000000
Rory McIlroy,62000000
Russell Westbrook,58000000
Kylian Mbappe,57000000
Rafael Nadal,54000000
Novak Djokovic,52000000
Phil Mickelson,50000000
Serena Williams,45000000
Stephen Curry,92800000
Kevin Durant,87900000
Roger Federer,90000000
