Month,Rainfall (mm),City
January,78,New York
February,60,New York
March,120,New York
April,160,New York
May,200,New York
June,150,New York
July,100,New York
August,130,New York
September,170,New York
October,190,New York
November,80,New York
December,60,New York
January,100,Los Angeles
February,80,Los Angeles
March,70,Los Angeles
April,50,Los Angeles
May,60,Los Angeles
June,40,Los Angeles
July,30,Los Angeles
August,20,Los Angeles
September,50,Los Angeles
October,70,Los Angeles
November,90,Los Angeles
December,100,Los Angeles
