Month,City,Temperature
January,New York,30
February,New York,32
March,New York,42
April,New York,55
May,New York,65
June,New York,75
July,New York,80
August,New York,79
September,New York,70
October,New York,59
November,New York,48
December,New York,35
January,Los Angeles,58
February,Los Angeles,60
March,Los Angeles,62
April,Los Angeles,65
May,Los Angeles,68
June,Los Angeles,72
July,Los Angeles,75
August,Los Angeles,76
September,Los Angeles,75
October,Los Angeles,70
November,Los Angeles,65
December,Los Angeles,60
January,Chicago,24
February,Chicago,28
March,Chicago,38
April,Chicago,50
May,Chicago,60
June,Chicago,70
July,Chicago,75
August,Chicago,73
September,Chicago,65
October,Chicago,55
November,Chicago,42
December,Chicago,30
