Month,Temperature (°C),City
January,2,New York
February,3,New York
March,8,New York
April,15,New York
May,20,New York
June,25,New York
July,30,New York
August,29,New York
September,24,New York
October,18,New York
November,10,New York
December,4,New York
January,15,Los Angeles
February,16,Los Angeles
March,18,Los Angeles
April,20,Los Angeles
May,22,Los Angeles
June,24,Los Angeles
July,26,Los Angeles
August,27,Los Angeles
September,26,Los Angeles
October,22,Los Angeles
November,18,Los Angeles
December,15,Los Angeles
January,5,Chicago
February,7,Chicago
March,12,Chicago
April,18,Chicago
May,22,Chicago
June,27,Chicago
July,31,Chicago
August,30,Chicago
September,25,Chicago
October,19,Chicago
November,12,Chicago
December,6,Chicago
