Player,G-xG
Yunis Abdelhamid,0.02
Salis Abdul Samed,0.01
Tammy Abraham,-0.12
Francesco Acerbi,0.06
Marcos Acuña,-0.02
Yacine Adli,-0.05
Nayef Aguerd,0.01
Ludovic Ajorque,0.01
Manuel Akanji,-0.03
David Alaba,0.02
Jordi Alba,0.03
Luis Alberto,0.05
Omar Alderete,0.03
Carles Aleñá,-0.04
Trent Alexander-Arnold,-0.02
Kelvin Amian,-0.05
Felipe Anderson,0.02
Benjamin André,0.02
Angeliño,0.02
Waldemar Anton,0.01
Michail Antonio,-0.03
Houssem Aouar,-0.06
Ronald Araújo,0.1
Marko Arnautović,-0.02
Maximilian Arnold,0.07
Iago Aspas,0.12
Tommaso Augello,0.03
Luke Ayling,0.02
Milan Badelj,-0.01
Ridle Baku,0.03
Iván Balliu,0.01
Jonathan Bamba,-0.08
Antonín Barák,0.02
Melvin Bard,0.04
Nicolò Barella,-0.07
Alessandro Bastoni,0.02
Simone Bastoni,0.05
Mohamed Bayo,0.02
Rodrigo Becão,0.03
Jan Bednarek,0.06
Stefan Bell,0.01
Raoul Bellanova,-0.02
Jean-Ricner Bellegarde,-0.02
Jude Bellingham,-0.04
Fran Beltrán,0.02
Wissam Ben Yedder,0.2
Karim Benzema,0.16
Domenico Berardi,0.04
Giulian Biancone,-0.04
Cristiano Biraghi,0.04
Ludovic Blas,-0.08
Giacomo Bonaventura,-0.04
Rafael Borré,-0.05
Denis Bouanga,0.02
Sofiane Boufal,-0.04
Benjamin Bourigeaud,0.16
Jarrod Bowen,0.02
Darko Brašanac,-0.02
Lilian Brassier,-0.01
Josip Brekalo,0.09
Gleison Bremer,-0.04
Dylan Bronn,-0.02
John Brooks,0.0
Josh Brownhill,0.02
Marcelo Brozović,0.02
Jonathan Burkardt,-0.11
Sergio Busquets,0.04
Leandro Cabrera,0.01
Anthony Caci,0.0
Mattia Caldara,-0.03
Hakan Çalhanoğlu,0.01
Mahdi Camara,0.02
Sergio Canales,0.01
João Cancelo,-0.09
Antonio Candreva,0.04
Étienne Capoue,0.02
Gianluca Caprari,0.14
Francesco Caputo,0.03
Diego Carlos,0.01
Yannick Carrasco,-0.02
Casemiro,-0.04
Matty Cash,0.04
Jean-Charles Castelletto,0.0
Catena,0.02
Pietro Ceccaroni,0.0
Federico Ceccherini,-0.03
Zeki Çelik,0.02
Brendan Chardonnet,0.05
Xavier Chavalerin,0.11
Pedro Chirivella,0.06
Joris Chotard,0.0
Jonathan Clauss,0.07
Conor Coady,0.06
Séamus Coleman,0.0
Santi Comesaña,-0.1
Nicolas Cozza,0.01
Aaron Cresswell,0.03
Bryan Cristante,-0.01
Juan Cuadrado,0.07
Marc Cucurella,0.01
Jorge Cuenca,0.01
Stuart Dallas,-0.03
Kevin Danso,0.01
Sergi Darder,0.01
Jonathan David,0.04
Ben Davies,-0.02
Craig Dawson,-0.02
Lorenzo De Silvestri,0.04
Thomas Delaine,-0.01
Andy Delort,0.02
