date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
1.0,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,7,0,0,0,,,0,,,,,Transport,Transport,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,6,0,0,0,,,0,,,,,Health,Health,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,8,0,0,0,,,0,,,,,Communication,Communication,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-02-1988,1988-02-01,1988.0,2.0,1.0
1.0,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-02-1988,1988-02-01,1988.0,2.0,1.0
2.0,11,285,60,4052,0.056338061,-0.03933309,4397,0.064816922,0.013645668,0.9215374,0.078462586,Restaurants and Hotels,Restaurants & Hotels,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,9,158,107,1889,0.083682008,-0.076923065,2154,0.073351905,0.049675025,0.87697309,0.12302693,Recreation and culture,Recreation & culture,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,8,9,3,55,0.0026755827,-0.10005002,67,0.13432837,0.044776119,0.82089549,0.17910448,Communication,Communication,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,5,566,216,3151,0.075009376,-0.067796551,3933,0.1439105,0.05491991,0.80116957,0.19883041,"Furnishings, household equipment and maintenance",Household,01-03-1988,1988-03-01,1988.0,3.0,1.0
