Business,Sales Channel,Q1 Revenue ($),Q2 Revenue ($),Q3 Revenue ($),Q4 Revenue ($)
Bakery,In-store,15000,12000,13000,16000
Bakery,Online,5000,4000,4200,4700
Craft Store,In-store,8000,8500,8700,9000
Craft Store,Online,3000,3200,3100,3300
Bookstore,In-store,7000,7200,6800,7600
Bookstore,Online,3500,3800,3900,4100
Florist,In-store,9500,9200,9400,10000
Florist,Online,2000,2100,2050,2500
Cafe,In-store,12000,11800,11900,12500
Cafe,Online,1800,1650,1700,1900
Garden Supplies,In-store,20000,20500,21000,22000
Garden Supplies,Online,6000,5800,5900,6100
