Line,Passenger Count (Daily),Length (miles),Areas Covered
Blue Line,12000,22,Downtown to Suburbs
Red Line,9500,18,East to West City
Green Line,8000,15,North to South City
Yellow Line,4000,10,Suburbs to Industrial Area
Purple Line,3200,8,Central to University
Silver Line,4500,12,City Center to Airport
Gold Line,3700,9,Historical District to Modern District
Orange Line,6700,14,Residential to Commercial Areas
Pink Line,2900,6,Stadium to Central Station
Aqua Line,5500,13,Entertainment District to Residential
Lime Line,2100,5,Government Buildings to Parks
Maroon Line,7800,16,Hospitals to Business District
Cyan Line,6000,11,Shopping Centers to Housing Estates
