""
Date,Low-income,Medium-income,High-income
2023-01-01,400,240,160
2023-01-02,420,260,180
2023-01-03,380,260,220
2023-01-04,400,270,190
2023-01-05,420,280,220
2023-01-06,410,290,230
2023-01-07,420,300,210
2023-01-08,430,310,240
2023-01-09,440,320,260
2023-01-10,450,330,270
2023-01-11,460,340,280
2023-01-12,470,350,290
2023-01-13,480,360,300
2023-01-14,470,370,310
2023-01-15,460,380,320
2023-01-16,450,390,330
2023-01-17,440,400,340
2023-01-18,430,410,350
2023-01-19,420,420,360
2023-01-20,410,430,370
2023-01-21,400,440,380
2023-01-22,390,450,390
2023-01-23,380,460,400
2023-01-24,370,470,410
2023-01-25,360,480,420
2023-01-26,350,490,430
2023-01-27,340,500,440
2023-01-28,330,510,450
2023-01-29,320,520,460
2023-01-30,310,530,470
2023-01-31,300,540,480
""
