""
Date,Education Spending,Technology Investment,Infrastructure Costs,Sports & Fitness Development
2021-01-01,12000,6800,9300,5000
2021-02-01,12200,7100,9500,5200
2021-03-01,12400,7300,9700,5400
2021-04-01,12100,7500,9400,5150
2021-05-01,12600,7700,9800,5550
2021-06-01,12900,7400,9900,5350
2021-07-01,13300,7600,10000,5600
2021-08-01,13000,7800,9800,5500
2021-09-01,13400,8000,9600,5700
2021-10-01,13800,8200,9900,5900
2021-11-01,14000,8400,9700,6100
2021-12-01,14500,8600,10000,6350
2022-01-01,14700,8800,10300,6500
2022-02-01,15000,9000,10500,6600
2022-03-01,15500,9200,10600,6700
2022-04-01,15200,9400,10800,6750
2022-05-01,15800,9600,11000,6850
2022-06-01,16200,9800,10900,6900
2022-07-01,16500,10000,11300,7050
2022-08-01,16800,10300,11200,7100
2022-09-01,17200,10600,11400,7200
2022-10-01,17500,10800,11700,7300
2022-11-01,17700,11000,11500,7400
2022-12-01,18000,11300,11900,7500
""
