""
Date,Indoor Activities,Outdoor Activities
2021-01-01,400,300
2021-01-02,410,320
2021-01-03,430,330
2021-01-04,420,340
2021-01-05,450,360
2021-01-06,460,370
2021-01-07,470,380
2021-01-08,480,390
2021-01-09,460,400
2021-01-10,470,410
2021-01-11,480,420
2021-01-12,490,430
2021-01-13,500,440
2021-01-14,510,450
2021-01-15,520,460
2021-01-16,530,470
2021-01-17,540,480
2021-01-18,550,490
2021-01-19,560,500
2021-01-20,570,510
2021-01-21,580,520
2021-01-22,570,530
2021-01-23,560,540
2021-01-24,550,550
2021-01-25,540,560
2021-01-26,530,570
2021-01-27,520,580
2021-01-28,510,590
2021-01-29,500,600
2021-01-30,490,610
2021-01-31,480,620
""
