""
date,Books,Electronics,Clothing,Home Appliances
2023-01-01,320,220,150,80
2023-01-02,330,225,155,85
2023-01-03,340,230,160,90
2023-01-04,325,235,165,95
2023-01-05,315,240,170,100
2023-01-06,310,245,180,105
2023-01-07,300,250,185,110
2023-01-08,305,260,190,120
2023-01-09,310,265,195,125
2023-01-10,315,270,200,130
2023-01-11,320,268,205,132
2023-01-12,325,270,210,135
2023-01-13,330,275,215,140
2023-01-14,335,280,220,150
2023-01-15,340,290,225,155
2023-01-16,345,295,230,160
2023-01-17,350,300,235,165
2023-01-18,355,305,240,170
2023-01-19,360,310,245,175
2023-01-20,365,315,250,180
""
