""
Year,Smartphones,Laptops,Tablets
2018 Q1,20000,15000,5000
2018 Q2,22000,16000,5500
2018 Q3,26000,17000,4500
2018 Q4,28000,18000,4800
2019 Q1,25000,18500,5000
2019 Q2,27000,19000,6000
2019 Q3,29000,19500,6200
2019 Q4,31000,20000,6500
2020 Q1,30000,21000,7000
2020 Q2,32000,22000,7200
2020 Q3,34000,23000,7400
2020 Q4,36000,24000,7500
2021 Q1,37000,24500,7600
2021 Q2,38000,25000,7700
2021 Q3,39000,25500,7800
2021 Q4,41000,26000,8000
2022 Q1,40000,26500,8200
2022 Q2,42000,27000,8300
2022 Q3,43000,27500,8400
2022 Q4,44000,28000,8500
""
