""
date,income,expenses,profit
2018-01-01,8000,5000,3000
2018-01-02,8200,5400,2800
2018-01-03,8800,5500,3300
2018-01-04,8500,5700,2800
2018-01-05,9000,6000,3000
2018-01-06,9300,6500,2800
2018-01-07,9700,6400,3300
2018-01-08,9100,6000,3100
2018-01-09,9400,6200,3200
2018-01-10,9500,6100,3400
2018-01-11,9800,6300,3500
2018-01-12,9900,6400,3500
2018-01-13,10100,6600,3500
2018-01-14,10400,6800,3600
2018-01-15,10200,6900,3300
2018-01-16,10500,7000,3500
2018-01-17,10700,7200,3500
2018-01-18,10900,7300,3600
2018-01-19,11000,7400,3600
2018-01-20,11300,7500,3800
2018-01-21,11600,7400,4200
2018-01-22,11800,7600,4200
2018-01-23,11900,7700,4200
2018-01-24,12000,7800,4200
2018-01-25,12200,7900,4300
2018-01-26,12400,8000,4400
2018-01-27,12500,8100,4400
2018-01-28,12700,8200,4500
2018-01-29,12800,8300,4500
2018-01-30,12900,8400,4500
""
