markdown
Date,PC,Mobile,Tablet
2020-01-01,120,80,50
2020-01-02,115,95,65
2020-01-03,130,90,60
2020-01-04,140,100,70
2020-01-05,150,110,80
2020-01-06,160,115,85
2020-01-07,155,120,90
2020-01-08,165,130,95
2020-01-09,170,140,100
2020-01-10,180,145,105
2020-01-11,185,135,110
2020-01-12,190,150,115
2020-01-13,195,155,120
2020-01-14,200,160,125
2020-01-15,205,165,130
2020-01-16,210,155,135
2020-01-17,220,160,140
2020-01-18,225,170,145
2020-01-19,230,175,150
2020-01-20,240,180,155
2020-01-21,245,185,160
2020-01-22,250,190,165
2020-01-23,255,195,170
2020-01-24,260,200,175
2020-01-25,265,205,180
2020-01-26,270,210,185
2020-01-27,275,215,190
2020-01-28,280,220,195
2020-01-29,285,225,200
2020-01-30,290,230,205
""
