""
date,Low-carb Diet,Keto Diet,Vegan Diet,Paleo Diet
2021-01-01,20,10,30,40
2021-01-02,22,11,33,43
2021-01-03,25,12,35,42
2021-01-04,28,14,34,44
2021-01-05,21,15,38,47
2021-01-06,25,16,42,49
2021-01-07,27,18,44,48
2021-01-08,29,17,40,47
2021-01-09,30,20,42,46
2021-01-10,32,19,43,44
...
2021-12-22,45,32,62,51
2021-12-23,48,34,65,54
2021-12-24,50,35,68,55
2021-12-25,49,33,67,56
2021-12-26,47,30,69,58
2021-12-27,50,31,70,57
2021-12-28,52,33,72,60
2021-12-29,53,32,71,59
2021-12-30,55,34,73,58
2021-12-31,57,36,75,57
""
